time,empirical_mean_covariance,discrete_bound_mean_covariance,continuous_bound_mean_covariance
104.8,17.4789387841691,17.578037106973866,17.15432713529136
104.82,17.478780630033484,17.578005418112323,17.154303476940093
104.84,17.478908774123195,17.577973769100552,17.154279849337502
104.86,17.47859009522774,17.577942159887964,17.154256252443286
104.88,17.47874124811624,17.577910590424086,17.154232686217156
104.9,17.4791171400209,17.57787906065848,17.154209150618918
104.92,17.478559942786834,17.577847570540758,17.154185645608404
104.94,17.478604205544944,17.577816120020625,17.154162171145504
104.96,17.478704166230294,17.57778470904784,17.154138727190176
104.98,17.478552430420347,17.57775333757223,17.154115313702412
105.0,17.478408031236345,17.577722005543688,17.154091930642263
105.02,17.478725317895474,17.577690712912155,17.154068577969834
105.04,17.47816571695088,17.57765945962764,17.154045255645293
105.06,17.477940635600447,17.577628245640255,17.154021963628843
105.08,17.477813449313107,17.577597070900133,17.15399870188075
105.1,17.477670769261255,17.57756593535746,17.153975470361335
105.12,17.477445070160766,17.577534838962528,17.153952269030963
105.14,17.477960400268767,17.577503781665673,17.153929097850053
105.16,17.477934802865615,17.577472763417298,17.153905956779084
105.18,17.478227246714727,17.57744178416786,17.153882845778586
105.2,17.478264610173902,17.577410843867895,17.153859764809134
105.22,17.47814347328785,17.57737994246798,17.153836713831364
105.24,17.477483475887883,17.57734907991879,17.153813692805947
105.26,17.477686676103797,17.57731825617102,17.153790701693634
105.28,17.477880016874867,17.577287471175467,17.153767740455205
105.3,17.477744314528497,17.577256724882957,17.153744809051492
105.32,17.477672864133257,17.57722601724442,17.15372190744341
105.34,17.477703286283734,17.577195348210818,17.153699035591874
105.36,17.477999093379022,17.577164717733183,17.153676193457898
105.38,17.477650720571052,17.57713412576261,17.153653381002524
105.4,17.47761835967072,17.577103572250245,17.15363059818685
105.42,17.4774070565388,17.577073057147324,17.153607844972026
105.44,17.477433510725458,17.577042580405138,17.153585121319253
105.46,17.477505115154674,17.577012141975022,17.153562427189776
105.48,17.477599285935913,17.576981741808382,17.153539762544916
105.5,17.477393223402146,17.576951379856695,17.15351712734602
105.52,17.477215303589833,17.576921056071484,17.153494521554492
105.54,17.477330998313604,17.576890770404365,17.15347194513179
105.56,17.477278683505073,17.57686052280697,17.15344939803943
105.58,17.477719545326348,17.57683031323104,17.153426880238964
105.6,17.478382069524184,17.576800141628347,17.153404391692003
105.62,17.478350940888923,17.576770007950724,17.15338193236021
105.64,17.477920113793456,17.5767399121501,17.15335950220531
105.66,17.478436138278365,17.576709854178414,17.15333710118905
105.68,17.478405940420526,17.57667983398772,17.15331472927324
105.7,17.478513429245996,17.576649851530085,17.15329238641976
105.72,17.478736762141914,17.57661990675768,17.153270072590516
